Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2022-05-02,UAL,735,EWR,CLE,C,C72,,C27,false,,2022-05-02T06:50,2022-05-02T06:45,,,,,2022-05-02T08:31,2022-05-02T08:21,Boeing 737 MAX 8,,,,,,,,c09651cc-861e-4b73-93e1-6e2bc735be87,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,c3e92536-273d-40e5-8464-45836fa4a427,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2022-05-02,UAL,776,CLE,EWR,,C27,C,C95,false,,2022-05-02T09:27,2022-05-02T09:27,,,,,2022-05-02T10:57,2022-05-02T10:52,Boeing 737 MAX 8,,,,,,,,c0176d0d-e9c4-464c-aa21-3db81975dc54,b57b4c86-4724-48f1-80be-d7de4036004a,c3e92536-273d-40e5-8464-45836fa4a427,4427d229-a1e2-4955-81fa-9b5c0f103f12,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2022-05-02,UAL,679,EWR,SAT,C,C103,B,B5,false,,2022-05-02T12:29,2022-05-02T12:45,,,,,2022-05-02T15:34,2022-05-02T15:52,Airbus A320,,,,,,,,f7a5059c-0564-41d7-861e-2418892634c8,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,98f5f76d-76cd-47cc-9ec1-bdb59a9f9928,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-05-03,UAL,2003,SAT,EWR,B,B5,C,C109,false,,2022-05-03T06:15,2022-05-03T06:13,,,,,2022-05-03T11:00,2022-05-03T10:56,Airbus A319,,,,,,,,7fdcfd27-6209-4856-9beb-d345a2edab1c,b57b4c86-4724-48f1-80be-d7de4036004a,98f5f76d-76cd-47cc-9ec1-bdb59a9f9928,4427d229-a1e2-4955-81fa-9b5c0f103f12,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2022-05-11,UAL,1080,EWR,SJO,C,C128,M,A12,false,,2022-05-11T08:00,2022-05-11T07:55,,,,,2022-05-11T11:14,2022-05-11T10:42,Boeing 737-800,,,,,,,,050d3dc1-aa52-444a-b90c-e9bb5389f616,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,55e8cd24-de00-4418-9858-0aa6b2373ec5,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-05-12,UAL,1079,SJO,EWR,M,5,B,67,false,,2022-05-12T07:45,2022-05-12T07:40,,,,,2022-05-12T15:05,2022-05-12T14:47,Boeing 737-800,,,,,,,,9d04c0d0-8ee0-42d8-9377-fce65669114f,b57b4c86-4724-48f1-80be-d7de4036004a,55e8cd24-de00-4418-9858-0aa6b2373ec5,4427d229-a1e2-4955-81fa-9b5c0f103f12,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-05-13,UAL,1929,EWR,MCO,C,C111,,43,false,,2022-05-13T13:41,2022-05-13T13:46,,,,,2022-05-13T16:25,2022-05-13T16:35,Boeing 737-800,,,,,,,,11a4a5f1-763a-4ed9-9a3f-7972c3d718cf,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,85570a14-2373-4bad-a7b5-b3a9a7fdce90,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-05-13,UAL,1086,MCO,DEN,,43,,B37,false,,2022-05-13T17:31,2022-05-13T17:47,,,,,2022-05-13T19:30,2022-05-13T19:48,Boeing 737-800,,,,,,,,6c102f98-48e2-4cb6-8b14-0fcfcb5fee24,b57b4c86-4724-48f1-80be-d7de4036004a,85570a14-2373-4bad-a7b5-b3a9a7fdce90,d00b5728-0678-4689-b660-fe9e583203dc,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-05-14,UAL,4687,DEN,MCI,,B90,C,63,false,,2022-05-14T13:30,2022-05-14T13:27,,,,,,2022-05-14T16:01,Bombardier CRJ700,,,,,,,,7ec9ce8c-a927-45cc-9c55-f5c35e8e5f4a,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,bd6062aa-a329-43e4-b684-82b0e7579c91,,1404a49a-a829-47ff-b37b-6c9273f21c77
2022-05-15,UAL,2049,MCI,EWR,C,68,C,C105,false,,2022-05-15T06:00,2022-05-15T05:59,,,,,2022-05-15T09:44,2022-05-15T09:35,Airbus A320,,,,,,,,75a622e5-b574-420e-818e-42337cc04d74,b57b4c86-4724-48f1-80be-d7de4036004a,bd6062aa-a329-43e4-b684-82b0e7579c91,4427d229-a1e2-4955-81fa-9b5c0f103f12,,dd390a1f-e92a-4411-ab72-04db16d42030
